"Date","Entries"
2012-01-01,72390
2012-01-02,79217
2012-01-03,93285
2012-01-04,99545
2012-01-05,111274
2012-01-06,97023
2012-01-07,112786
2012-01-08,106575
2012-01-09,128567
2012-01-10,139566
2012-01-11,145651
2012-01-12,149928
2012-01-13,143246
2012-01-14,148530
2012-01-15,119549
2012-01-16,106176
2012-01-17,107544
2012-01-18,94301
2012-01-19,98029
2012-01-20,100336
2012-01-21,137479
2012-01-22,110572
2012-01-23,82520
2012-01-24,107351
2012-01-25,112725
2012-01-26,118135
2012-01-27,158649
2012-01-28,142128
2012-01-29,111160
2012-01-30,105740
2012-01-31,107580
2012-02-01,95769
2012-02-02,94887
2012-02-03,116233
2012-02-04,136605
2012-02-05,105776
2012-02-06,108115
2012-02-07,115461
2012-02-08,115162
2012-02-09,122206
2012-02-10,115388
2012-02-11,137240
2012-02-12,109980
2012-02-13,107314
2012-02-14,120569
2012-02-15,119423
2012-02-16,123466
2012-02-17,121327
2012-02-18,134260
2012-02-19,107192
2012-02-20,107424
2012-02-21,110988
2012-02-22,117888
2012-02-23,119754
2012-02-24,119156
2012-02-25,135792
2012-02-26,125734
2012-02-27,109806
2012-02-28,116387
2012-02-29,117520
2012-03-01,140855
2012-03-02,118967
2012-03-03,138134
2012-03-04,117092
2012-03-05,118048
2012-03-06,119232
2012-03-07,120553
2012-03-08,126956
2012-03-09,124861
2012-03-10,136560
2012-03-11,115710
2012-03-12,108814
2012-03-13,113847
2012-03-14,135785
2012-03-15,121497
2012-03-16,117691
2012-03-17,131996
2012-03-18,110033
2012-03-19,104444
2012-03-20,109918
2012-03-21,116855
2012-03-22,120344
2012-03-23,122309
2012-03-24,139070
2012-03-25,66882
2012-03-26,103095
2012-03-27,110785
2012-03-28,115301
2012-03-29,122570
2012-03-30,120758
2012-04-02,107146
2012-04-03,116209
2012-04-04,122396
2012-04-05,115203
2012-04-06,89259
2012-04-07,87551
2012-04-08,58013
2012-04-09,72330
2012-04-10,90137
2012-04-11,117848
2012-04-12,119281
2012-04-13,127842
2012-04-14,151576
2012-04-15,73937
2012-04-16,126373
2012-04-17,131769
2012-04-18,141456
2012-04-19,148674
2012-04-20,124430
2012-04-21,119639
2012-04-22,96770
2012-04-23,110086
2012-04-24,123291
2012-04-25,91112
2012-04-26,94498
2012-04-27,96956
2012-04-28,105951
2012-04-29,82849
2012-04-30,73409
2012-05-01,96559
2012-05-02,109910
2012-05-03,119522
2012-05-04,122318
2012-05-05,145750
2012-05-06,119920
2012-05-07,109047
2012-05-08,117613
2012-05-09,120198
2012-05-10,125858
2012-05-11,127692
2012-05-12,142591
2012-05-13,117883
2012-05-14,110693
2012-05-15,115658
2012-05-16,117845
2012-05-17,120416
2012-05-18,121355
2012-05-19,133770
2012-05-20,110274
2012-05-21,118657
2012-05-22,116467
2012-05-23,117876
2012-05-24,121524
2012-05-25,122059
2012-05-26,133422
2012-05-27,68807
2012-05-28,106413
2012-05-29,112205
2012-05-30,115769
2012-05-31,119092
2012-06-01,102531
2012-06-02,87268
2012-06-03,89470
2012-06-04,109840
2012-06-05,110804
2012-06-06,115675
2012-06-07,122743
2012-06-08,119908
2012-06-09,124527
2012-06-10,102604
2012-06-11,107861
2012-06-12,120375
2012-06-13,111198
2012-06-14,110673
2012-06-15,107629
2012-06-16,108514
2012-06-17,88444
2012-06-18,100606
2012-06-19,106998
2012-06-20,113020
2012-06-21,115161
2012-06-22,140250
2012-06-23,113588
2012-06-24,94600
2012-06-25,108955
2012-06-26,112810
2012-06-27,110645
2012-06-28,110316
2012-06-29,101142
2012-06-30,96552
2012-07-01,79500
2012-07-02,95863
2012-07-03,102114
2012-07-04,106478
2012-07-05,107176
2012-07-06,101443
2012-07-07,99431
2012-07-08,83232
2012-07-09,96137
2012-07-10,106298
2012-07-11,108570
2012-07-12,108992
2012-07-13,98822
2012-07-14,96997
2012-07-15,79459
2012-07-16,86038
2012-07-17,88789
2012-07-18,85582
2012-07-19,84353
2012-07-20,97225
2012-07-21,83429
2012-07-22,69070
2012-07-23,89178
2012-07-24,98292
2012-07-25,99050
2012-07-26,110704
2012-07-27,104860
2012-07-28,79898
2012-07-29,67703
2012-07-30,96903
2012-07-31,103015
2012-08-01,106540
2012-08-02,98117
2012-08-03,90239
2012-08-04,64421
2012-08-05,47246
2012-08-06,65448
2012-08-07,65036
2012-08-08,64664
2012-08-09,62284
2012-08-10,58811
2012-08-11,45732
2012-08-12,40033
2012-08-13,43984
2012-08-14,43052
2012-08-15,37060
2012-08-16,39123
2012-08-17,40128
2012-08-18,35945
2012-08-19,35309
2012-08-20,47424
2012-08-21,50252
2012-08-22,51035
2012-08-23,53248
2012-08-24,52063
2012-08-25,45314
2012-08-26,45922
2012-08-27,70074
2012-08-28,81079
2012-08-29,83889
2012-08-30,92811
2012-08-31,100010
2012-09-01,98576
2012-09-02,91648
2012-09-03,115687
2012-09-04,124337
2012-09-05,124790
2012-09-06,136139
2012-09-07,129860
2012-09-08,111619
2012-09-09,98621
2012-09-10,124409
2012-09-11,130944
2012-09-12,139896
2012-09-13,138841
2012-09-14,136312
2012-09-15,119439
2012-09-16,67949
2012-09-17,103270
2012-09-18,109903
2012-09-19,115186
2012-09-20,115240
2012-09-21,116472
2012-09-22,128874
2012-09-23,112639
2012-09-24,115537
2012-09-25,113202
2012-09-26,117641
2012-09-27,119144
2012-09-28,116234
2012-09-29,135283
2012-09-30,110772
2012-10-01,106726
2012-10-02,153070
2012-10-03,112819
2012-10-04,117766
2012-10-05,118388
2012-10-06,136244
2012-10-07,108305
2012-10-08,104295
2012-10-09,110460
2012-10-10,114286
2012-10-11,119358
2012-10-12,117256
2012-10-13,138171
2012-10-14,68659
2012-10-15,116478
2012-10-16,112234
2012-10-17,116586
2012-10-18,123062
2012-10-19,120511
2012-10-20,138796
2012-10-21,110683
2012-10-22,101192
2012-10-23,108555
2012-10-24,115235
2012-10-25,120433
2012-10-26,128533
2012-10-27,144008
2012-10-28,117551
2012-10-29,107076
2012-10-30,116430
2012-10-31,123850
2012-11-01,99655
2012-11-02,79767
2012-11-03,102023
2012-11-04,94508
2012-11-05,99208
2012-11-06,112468
2012-11-07,116517
2012-11-08,122622
2012-11-09,123051
2012-11-10,145084
2012-11-11,111384
2012-11-12,107592
2012-11-13,114040
2012-11-14,111953
2012-11-15,118059
2012-11-16,117382
2012-11-17,137491
2012-11-18,112130
2012-11-19,107747
2012-11-20,112703
2012-11-21,117009
2012-11-22,123922
2012-11-23,124668
2012-11-24,149087
2012-11-25,120843
2012-11-26,107412
2012-11-27,114730
2012-11-28,124601
2012-11-29,157368
2012-11-30,126138
2012-12-01,143054
2012-12-02,118036
2012-12-03,112532
2012-12-04,121429
2012-12-05,123593
2012-12-06,123917
2012-12-07,96117
2012-12-08,111485
2012-12-09,100823
2012-12-10,109447
2012-12-11,120159
2012-12-12,125288
2012-12-13,133091
2012-12-14,106774
2012-12-15,140947
2012-12-16,134379
2012-12-17,124377
2012-12-18,136138
2012-12-19,142300
2012-12-20,150267
2012-12-21,142730
2012-12-22,143095
2012-12-23,116619
2012-12-24,111033
2012-12-25,74864
2012-12-26,72905
2012-12-27,101329
2012-12-28,100671
2012-12-29,88903
2012-12-30,73072
2012-12-31,76644
2013-01-01,66224
2013-01-02,78947
2013-01-03,87912
2013-01-04,94696
2013-01-05,110091
2013-01-06,101129
2013-01-07,89686
2013-01-08,98249
2013-01-09,100995
2013-01-10,109757
2013-01-11,114086
2013-01-12,142357
2013-01-13,111926
2013-01-14,103540
2013-01-15,109819
2013-01-16,111459
2013-01-17,112567
2013-01-18,112168
2013-01-19,121238
2013-01-20,88912
2013-01-21,104436
2013-01-22,110662
2013-01-23,114020
2013-01-24,118731
2013-01-25,117548
2013-01-26,134290
2013-01-27,109664
2013-01-28,102881
2013-01-29,102502
2013-01-30,103160
2013-01-31,104615
2013-02-01,97483
2013-02-02,86341
2013-02-03,67268
2013-02-04,100712
2013-02-05,104436
2013-02-06,112567
2013-02-07,120720
2013-02-08,117007
2013-02-09,129335
2013-02-10,107025
2013-02-11,86375
2013-02-12,94799
2013-02-13,107695
2013-02-14,113241
2013-02-15,105363
