timeIndex;NC;ALTRO;BUS;MERCI;PERSONE
01/01/2012;1274;347;1414;1699;72390
02/01/2012;1241;1150;1654;9199;79217
03/01/2012;1515;1532;1803;11323;93285
04/01/2012;1533;1493;1763;11716;99545
05/01/2012;1653;1630;1739;11727;111274
06/01/2012;1404;530;1386;2982;97023
07/01/2012;1756;931;1657;4474;112786
08/01/2012;1628;433;1485;2612;106575
09/01/2012;1917;1827;2101;14828;128567
10/01/2012;1965;2014;2232;16583;139566
11/01/2012;2172;1965;2206;16447;145651
12/01/2012;2183;1922;2262;17055;149928
13/01/2012;2156;1897;2275;17387;143246
14/01/2012;2380;1181;1896;7431;148530
15/01/2012;1770;389;1551;2910;119549
16/01/2012;1717;1735;2348;13685;106176
17/01/2012;1775;1935;2378;13914;107544
18/01/2012;1681;1895;2609;14506;94301
19/01/2012;1795;1892;2553;14750;98029
20/01/2012;1873;1922;2578;14471;100336
21/01/2012;2183;1219;1963;6587;137479
22/01/2012;1637;437;1754;2596;110572
23/01/2012;1465;1669;2496;13118;82520
24/01/2012;1667;1879;2737;14539;107351
25/01/2012;1792;1818;2665;14317;112725
26/01/2012;1895;1892;2772;14550;118135
27/01/2012;2314;2016;2244;16276;158649
28/01/2012;2256;1156;1889;6849;142128
29/01/2012;1588;415;1593;2593;111160
30/01/2012;1726;1780;2551;14096;105740
31/01/2012;1705;1944;2502;14970;107580
01/02/2012;1699;1760;2365;12814;95769
02/02/2012;1714;1610;2149;11439;94887
03/02/2012;1872;1810;2271;14424;116233
04/02/2012;2160;1172;1637;6727;136605
05/02/2012;1612;437;1376;2611;105776
06/02/2012;1772;1701;2137;13729;108115
07/02/2012;1891;1818;2312;14682;115461
08/02/2012;1817;1782;2298;13865;115162
09/02/2012;1907;1848;2442;14462;122206
10/02/2012;1987;1771;2299;13545;115388
11/02/2012;2174;1088;1550;6764;137240
12/02/2012;1715;421;1302;2572;109980
13/02/2012;1852;1724;2193;13730;107314
14/02/2012;1881;1937;2178;14745;120569
15/02/2012;1922;1846;2296;14341;119423
16/02/2012;1934;1931;2442;14526;123466
17/02/2012;1900;1908;2437;14381;121327
18/02/2012;2083;1138;1855;6734;134260
19/02/2012;1558;409;1610;2563;107192
20/02/2012;1715;1766;2425;13983;107424
21/02/2012;1788;1945;2576;15377;110988
22/02/2012;1896;1812;2718;14950;117888
23/02/2012;1850;1942;2662;15261;119754
24/02/2012;1825;1875;2624;14457;119156
25/02/2012;2159;1206;1871;6861;135792
26/02/2012;1819;462;1607;2995;125734
27/02/2012;1853;1741;2381;13961;109806
28/02/2012;1892;1897;2619;14864;116387
29/02/2012;1933;1870;2648;14982;117520
01/03/2012;2220;1938;2501;15595;140855
02/03/2012;2046;1973;2660;14498;118967
03/03/2012;2319;1227;2112;6728;138134
04/03/2012;1829;437;1664;2567;117092
05/03/2012;1974;1750;2523;13857;118048
06/03/2012;2075;1977;2803;15285;119232
07/03/2012;2078;1887;2762;14905;120553
08/03/2012;2324;1958;2771;15351;126956
09/03/2012;2735;1915;2817;14860;124861
10/03/2012;3187;1215;1972;6809;136560
11/03/2012;2608;415;1566;2620;115710
12/03/2012;2595;1799;2697;14611;108814
13/03/2012;2712;1947;2770;15435;113847
14/03/2012;2882;1909;2757;16095;135785
15/03/2012;2811;1893;2798;15316;121497
16/03/2012;2837;1996;2726;15079;117691
17/03/2012;3230;1129;1731;6587;131996
18/03/2012;2396;386;1480;2536;110033
19/03/2012;2669;1670;2376;13530;104444
20/03/2012;2673;1885;2772;14678;109918
21/03/2012;2767;1930;2877;15321;116855
22/03/2012;2956;1921;2938;15291;120344
23/03/2012;3167;2018;2973;15124;122309
24/03/2012;3432;1141;2032;7058;139070
25/03/2012;1571;361;1503;1852;66882
26/03/2012;2645;1762;2677;14529;103095
27/03/2012;2828;1961;2775;15038;110785
28/03/2012;3012;1854;2883;15006;115301
29/03/2012;3100;1941;2897;15556;122570
30/03/2012;3215;1955;2883;15181;120758
02/04/2012;2917;1755;2806;15128;107146
03/04/2012;3104;2031;2979;15872;116209
04/04/2012;3084;1824;2720;15354;122396
05/04/2012;2968;1830;2514;14944;115203
06/04/2012;3009;1757;2576;12969;89259
07/04/2012;2857;905;1857;4787;87551
08/04/2012;1675;295;1438;1555;58013
09/04/2012;1963;454;1563;2107;72330
10/04/2012;2659;1648;2406;13345;90137
11/04/2012;2918;1924;2466;15423;117848
12/04/2012;3234;2035;2769;16162;119281
13/04/2012;3402;1993;2834;16338;127842
14/04/2012;3898;1238;2167;8365;151576
15/04/2012;1841;398;1419;2399;73937
16/04/2012;3423;1911;2831;16625;126373
17/04/2012;3747;2169;3015;16687;131769
18/04/2012;3955;2000;3045;16055;141456
19/04/2012;4212;2129;3214;16225;148674
20/04/2012;3543;1835;2624;14287;124430
21/04/2012;3385;869;1648;5163;119639
22/04/2012;2530;310;1333;2257;96770
23/04/2012;3180;1824;2596;15064;110086
24/04/2012;3353;2119;2709;16047;123291
25/04/2012;2281;544;1485;2838;91112
26/04/2012;2875;1819;2724;13496;94498
27/04/2012;2943;1722;2575;13029;96956
28/04/2012;3158;1181;2029;6066;105951
29/04/2012;2331;308;1643;2307;82849
30/04/2012;2450;1458;1839;9195;73409
01/05/2012;2666;445;927;2468;96559
02/05/2012;3501;1915;2697;15070;109910
03/05/2012;3765;2003;2774;15644;119522
04/05/2012;3909;2057;2917;15536;122318
05/05/2012;3852;1203;2050;6993;145750
06/05/2012;3188;401;1628;2702;119920
07/05/2012;3556;1774;2778;14987;109047
08/05/2012;3807;2076;2959;15972;117613
09/05/2012;3870;1903;2902;16062;120198
10/05/2012;4093;2086;2778;15816;125858
11/05/2012;4151;2018;2857;15785;127692
12/05/2012;4344;1223;2016;7268;142591
13/05/2012;3354;404;1664;2803;117883
14/05/2012;3659;1808;2670;15144;110693
15/05/2012;4003;2015;2808;15932;115658
16/05/2012;4128;1950;2745;15693;117845
17/05/2012;4613;1967;2865;15669;120416
18/05/2012;4526;1979;3060;15676;121355
19/05/2012;4307;1150;2139;6926;133770
20/05/2012;3166;383;1598;2644;110274
21/05/2012;3850;1724;2631;14533;118657
22/05/2012;4137;1958;2779;15866;116467
23/05/2012;4512;1896;2893;15769;117876
24/05/2012;4558;1987;2868;15727;121524
25/05/2012;4455;2037;2769;15524;122059
26/05/2012;4473;1210;2103;7195;133422
27/05/2012;2474;470;1378;2072;68807
28/05/2012;4421;1795;2654;14882;106413
29/05/2012;4232;1963;2724;15337;112205
30/05/2012;4427;1875;2764;15513;115769
31/05/2012;4766;2097;2791;15727;119092
01/06/2012;4313;2054;2789;13984;102531
02/06/2012;3318;785;1821;3505;87268
03/06/2012;3283;533;1854;2171;89470
04/06/2012;4198;1855;2562;14691;109840
05/06/2012;4578;1971;2671;15830;110804
06/06/2012;4789;1944;2660;15660;115675
07/06/2012;5122;1984;2715;15924;122743
08/06/2012;4855;1968;2663;15290;119908
09/06/2012;4405;1276;2053;6813;124527
10/06/2012;3468;400;1620;2584;102604
11/06/2012;4524;1689;2543;14964;107861
12/06/2012;4959;1999;2605;16151;120375
13/06/2012;4818;1859;2631;15466;111198
14/06/2012;4957;1935;2584;15531;110673
15/06/2012;4812;1928;2598;15019;107629
16/06/2012;4144;1153;1993;6348;108514
17/06/2012;3436;420;1579;2325;88444
18/06/2012;4629;1770;2503;14897;100606
19/06/2012;4979;1960;2509;15834;106998
20/06/2012;5193;1927;2612;16086;113020
21/06/2012;5317;1828;2571;16000;115161
22/06/2012;6044;1968;2088;16052;140250
23/06/2012;4738;1167;1969;6839;113588
24/06/2012;3858;395;1681;2677;94600
25/06/2012;5373;1712;2550;15212;108955
26/06/2012;5295;1959;2534;15980;112810
27/06/2012;5098;1847;2449;15640;110645
28/06/2012;5233;1949;2486;15508;110316
29/06/2012;4853;1856;2523;14741;101142
30/06/2012;3965;1058;1768;6134;96552
01/07/2012;3302;396;1524;2259;79500
02/07/2012;4734;1608;2171;14177;95863
03/07/2012;5122;1896;2183;15168;102114
04/07/2012;5274;1793;2112;15247;106478
05/07/2012;5487;1788;2098;14850;107176
06/07/2012;5146;1803;2127;14480;101443
07/07/2012;4494;1025;1772;5971;99431
08/07/2012;3575;339;1517;2225;83232
09/07/2012;5100;1659;2128;14320;96137
10/07/2012;5610;1887;2119;15439;106298
11/07/2012;5706;1827;2217;15144;108570
12/07/2012;5730;1758;2142;15072;108992
13/07/2012;5448;1788;2188;14284;98822
14/07/2012;4726;1069;1745;5839;96997
15/07/2012;3710;324;1435;2149;79459
16/07/2012;4638;1574;1945;13434;86038
17/07/2012;4835;1668;1945;13180;88789
18/07/2012;4731;1470;1787;12230;85582
19/07/2012;4723;1444;1810;11841;84353
20/07/2012;5221;1523;1862;13104;97225
21/07/2012;3929;849;1562;5156;83429
22/07/2012;3158;280;1311;1850;69070
23/07/2012;5074;1497;2323;13890;89178
24/07/2012;5454;1806;2310;14888;98292
25/07/2012;5534;1701;2304;14695;99050
26/07/2012;5945;1625;2223;14437;110704
27/07/2012;5535;1621;2264;14518;104860
28/07/2012;3837;876;1780;5147;79898
29/07/2012;3208;294;1581;2027;67703
30/07/2012;5140;1438;2211;14709;96903
31/07/2012;5353;1544;2241;14283;103015
01/08/2012;5700;1539;2243;15384;106540
02/08/2012;5401;1439;2190;13948;98117
03/08/2012;4962;1351;2184;12835;90239
04/08/2012;3394;699;1656;4212;64421
05/08/2012;2348;232;1384;1596;47246
06/08/2012;3563;1117;2137;9846;65448
07/08/2012;3546;1191;2029;9814;65036
08/08/2012;3462;1121;2169;9375;64664
09/08/2012;3480;1084;2184;8889;62284
10/08/2012;3372;1019;2204;8139;58811
11/08/2012;2391;541;1675;3134;45732
12/08/2012;2183;246;1615;1490;40033
13/08/2012;2530;803;1714;5602;43984
14/08/2012;2364;888;1747;5196;43052
15/08/2012;1714;293;1384;1431;37060
16/08/2012;2175;622;1754;4158;39123
17/08/2012;2303;781;1711;4682;40128
